,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
364011,1846783,3307370,Medium,WD,NARCOTICSOutside,P180741362,900 N MONROE ST,39.299101,-76.647544,2018-03-15
161402,797592,2697313,Medium,NE,NARCOTICSOutside,P172040738,3000 KENTUCKY AV,39.323578000000005,-76.570375,2017-07-23
91857,476175,2595199,Medium,NW,NARCOTICSOutside,P171691756,5400 BLK NARCISSUS AV,39.349014000000004,-76.684362,2017-06-18
675449,3653403,2712802,Medium,CD,NARCOTICSOutside,P172091934,500-511 LAURENS ST,39.305896999999995,-76.63344000000001,2017-07-28
33801,146242,3033498,Medium,SE,NARCOTICS INSIDE,P173271174,1400 E FAYETTE ST,39.29298,-76.598292,2017-11-23
415835,1979610,3388639,Medium,SW,NARCOTICSOutside,P181061843,600 N EDGEWOOD ST,39.294067999999996,-76.675554,2018-04-16
433174,2027623,3398422,Medium,ED,NARCOTICSOutside,P181101016,1900 N WOLFE ST,39.312647999999996,-76.591747,2018-04-20
435418,2035499,3401375,Medium,WD,NARCOTICSOutside,P181110920,1300 LAURENS ST,39.303360999999995,-76.639074,2018-04-21
145909,716186,3028490,Medium,SD,NARCOTICSOutside,P173251447,1800 W PRATT ST,39.285184,-76.64531,2017-11-21
342190,1796745,3260097,Medium,NE,NARCOTICS INSIDE,P180550953,5000 FRANKFORD AV,39.328796000000004,-76.541568,2018-02-24
491596,2890439,2713631,Medium,SW,NARCOTICSOutside,P172092841,1300 POPLAR GROVE ST,39.302261,-76.665359,2017-07-28
438413,2044502,3405259,Medium,SW,NARCOTICSOutside,P181122237,2100-BL FREDERICK AV,39.285740000000004,-76.64999399999999,2018-04-22
649260,3561917,2529463,Medium,ND,NARCOTICS INSIDE,P171472249,2900 GREENMOUNT AV,39.323802,-76.609426,2017-05-27
564640,3182322,2906867,Medium,SD,NARCOTICSOutside,P172791733,2700 BLK FISK RD,39.25005,-76.631008,2017-10-06
219068,1497955,2723566,Medium,SD,NARCOTICS INSIDE,P172131460,1800 DOVER ST,39.284704,-76.645359,2017-08-01
722966,3825904,2824595,Medium,SW,NARCOTICSOutside,P172492512,4000 FREDERICK AV,39.281748,-76.68211600000001,2017-09-06
363827,1846385,3307093,Medium,NE,NARCOTICSOutside,P180741062,2600 POLK ST,39.319864,-76.595345,2018-03-15
712118,3787808,2642560,Medium,NW,NARCOTICSOutside,P171851550,5300 CUTHBERT AV,39.347954,-76.682672,2017-07-04
441698,2057465,3410269,Medium,SW,NARCOTICSOutside,P181141985,2700 WILKENS AV,39.278036,-76.658804,2018-04-24
14712,57637,3023883,Medium,NW,NARCOTICSOutside,P173231472,3800 LIBERTY HEIGHTS AV,39.326425,-76.67905999999999,2017-11-19
425584,2004704,3383066,Medium,SW,NARCOTICSOutside,P181041385,500 BLK NORMANDY AV,39.292619,-76.681528,2018-04-14
673854,3651803,2677569,Medium,ED,NARCOTICSOutside,P171971321,1100 N MONTFORD AV,39.303971999999995,-76.584026,2017-07-16
161127,797238,2672866,Medium,SD,NARCOTICSOutside,P171952597,2000 EAGLE ST,39.280931,-76.647349,2017-07-14
399736,1938678,3353822,Medium,SE,NARCOTICSOutside,P180932093,1100 BROENING HY,39.280982,-76.543735,2018-04-03
662319,3575021,2973975,Medium,WD,NARCOTICSOutside,P173040691,1800 BLK W LEXINGTON ST,39.290564,-76.64583499999999,2017-10-31
730585,3833609,2736273,Medium,WD,NARCOTICSOutside,P172172421,1500 N PAYSON ST,39.305586,-76.649641,2017-08-05
181751,913617,2906385,Medium,SW,NARCOTICSOutside,P172791171,1200 POPLAR GROVE ST,39.301352,-76.66532600000001,2017-10-06
548151,3095376,3133379,Medium,WD,NARCOTICS INSIDE,P180050411,900 N MONROE ST,39.299101,-76.647544,2018-01-05
595807,3290251,3131835,Medium,SD,NARCOTICSOutside,P180041148,1100 W PRATT ST,39.285659,-76.635285,2018-01-04
140334,708958,2849297,Medium,SD,NARCOTICSOutside,P172582699,3000 STRANDEN RD,39.252324,-76.645718,2017-09-15
80684,371887,3033489,Medium,NW,NARCOTICSOutside,P173271166,5300 CORDELIA AV,39.347132,-76.68310699999999,2017-11-23
99292,486108,2897445,Medium,ED,NARCOTICSOutside,P172760753,800 BLK N MONTFORD AV,39.300181,-76.583787,2017-10-03
34756,147499,3062201,Medium,SD,NARCOTICSOutside,P173391290,400 BLK CAMBRIA ST,39.236607,-76.605338,2017-12-05
117907,598883,2793928,Medium,ED,NARCOTICSOutside,P172380884,2500 E PRESTON ST,39.305814,-76.582555,2017-08-26
356261,1828272,2526678,Medium,SD,NARCOTICSOutside,P171462879,1500 RIVERSIDE AV,39.272847999999996,-76.608367,2017-05-26
500581,2899452,2998973,Medium,NW,NARCOTICS INSIDE,P173132091,4100 PATTERSON AV,39.355006,-76.703727,2017-11-09
410759,1966581,2512840,Medium,SE,NARCOTICSOutside,P171420897,6200 PLANTVIEW WY,39.277136,-76.54106,2017-05-22
640868,3481984,2990391,Medium,ND,NARCOTICSOutside,P173100983,3600 ELM AV,39.331301,-76.631232,2017-11-06
678356,3656336,2817107,Medium,SW,NARCOTICSOutside,P172462380,4100 FREDERICK AV,39.281712,-76.68343399999999,2017-09-03
560442,3178104,2766673,Medium,CD,NARCOTICSOutside,P172282593,600 N EUTAW ST,39.295864,-76.621328,2017-08-16
415278,1977949,3372265,Medium,NE,NARCOTICS INSIDE,P181002349,5500 BOWLEYS LN,39.31924,-76.551783,2018-04-10
167096,835690,2597086,Medium,NW,NARCOTICSOutside,P171700735,5200 FLORENCE AV,39.347646000000005,-76.679463,2017-06-19
35062,147894,3060034,Medium,ED,NARCOTICSOutside,P173381786,2000 JEFFERSON ST,39.296465000000005,-76.58899100000001,2017-12-04
461974,2725563,2971807,Medium,SW,NARCOTICS INSIDE,P173031201,2000 N EDGEWOOD ST,39.310142,-76.675945,2017-10-30
167320,836005,2633304,Medium,NW,NARCOTICSOutside,P171821097,3300 SPAULDING AV,39.347122,-76.676677,2017-07-01
657424,3570110,2805805,Medium,NW,NARCOTICSOutside,P172422211,6800 REISTERSTOWN RD,39.359581,-76.70699,2017-08-30
53409,245900,2945887,Medium,SW,NARCOTICSOutside,P172932573,2700 WILKENS AV,39.27802,-76.658845,2017-10-20
44437,234217,2671783,Medium,SW,NARCOTICSOutside,P171951397,2700 WILKENS AV,39.27802,-76.658845,2017-07-14
694998,3735170,2656009,Medium,SW,NARCOTICSOutside,P171892962,100 S WICKHAM RD,39.283275,-76.695796,2017-07-08
351422,1816466,3294783,Medium,ED,NARCOTICSOutside,P180690925,2300-BLK E MONUMENT ST,39.298751,-76.58486500000001,2018-03-10
222011,1501982,2753379,Medium,SD,NARCOTICSOutside,P172233220,1200 W LOMBARD ST,39.286558,-76.636751,2017-08-11
335014,1780352,3245258,Medium,SW,NARCOTICS INSIDE,P180491403,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-02-18
720495,3822895,2477257,Medium,SD,NARCOTICSOutside,P171300403,1000 W LOMBARD ST,39.286752,-76.633785,2017-05-10
700793,3740986,2848881,Medium,SW,NARCOTICSOutside,P172582241,1000 LYNDHURST ST,39.298721,-76.68146,2017-09-15
708090,3748330,3086761,Medium,SW,NARCOTICSOutside,P173491638,4100 FREDERICK AV,39.281712,-76.68343399999999,2017-12-15
307191,1705839,3230109,Medium,WD,NARCOTICS INSIDE,P180431846,2300 OREM AV,39.316435999999996,-76.646888,2018-02-12
650343,3563001,2546355,Medium,CD,NARCOTICSOutside,P171531795,900 PENNSYLVANIA AV,39.296611,-76.62610600000001,2017-06-02
336021,1788722,3273159,Medium,WD,NARCOTICSOutside,P180601327,1600 BLK N GILMOR ST,39.306875,-76.643401,2018-03-01
162906,799553,2891178,Medium,WD,NARCOTICSOutside,P172732424,2500 LAURETTA AV,39.294041,-76.65623000000001,2017-09-30
39707,227924,2508619,Medium,SW,NARCOTICSOutside,P171402537,1800 N ROSEDALE ST,39.308192,-76.669265,2017-05-20
496678,2895539,2899007,Medium,NW,NARCOTICSOutside,P172762518,5300 BLK CUTHBERT AV,39.347954,-76.682672,2017-10-03
74594,363778,2844741,Medium,SD,NARCOTICSOutside,P172570720,1900 BLK MCHENRY ST,39.284187,-76.646869,2017-09-14
419244,1988481,3388814,Medium,NW,NARCOTICSOutside,P181062027,5300 BLK CORDELIA AV,39.347132,-76.68310699999999,2018-04-16
134849,701936,2668340,Medium,WD,NARCOTICSOutside,P171940977,700 BLK GOLD ST,39.30682,-76.64033,2017-07-13
148423,719414,3129178,Medium,SW,NARCOTICSOutside,P180031028,3100 W NORTH AV,39.308983000000005,-76.669488,2018-01-03
