,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes,longitude,latitude
20500,LBD7,BWL,387.0,2017-05-01,2018-04-30,2017,1320.0,1117,Renewed,EUN HEA,CHUN,BIG BILL LIQUORS,"K & C LIQUORS, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1232 CAROLINE STREET NORTH,21213,100.0,180.0,26956.0,39.305106, -76.598025
20501,LBD7,BWL,260.0,2017-05-01,2018-04-30,2017,1320.0,0745,Renewed,PHILIP A.,OSIKA,LIL' PHIL'S TAVERN,"BOAJ, LLC",Tavern,7 days,"Beer, Wine, & Liquor",706 BROADWAY SOUTH,21231,286.0,68.0,27954.0,39.283243, -76.593492
20502,LBHM,BWL,19.0,2017-05-01,2018-04-30,2017,7200.0,0899,Renewed,JOHN ,POSS,PENDRY HOTEL,"1715 THAMES LICENSEE, LLC",Hotel/Motel,7 days,"Beer, Wine, & Liquor",1715 THAMES STREET,21231,286.0,68.0,27954.0,39.281855, -76.592111
20505,LB,BWL,295.0,2017-05-01,2018-04-30,2017,2000.0,1149,Renewed,DEMETRIOS,STAVRAKIS,BLUEHILL TAVERN,"938 CONKLING, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",938-40 CONKLING STREET SOUTH,21224,130.0,30.0,27935.0,39.281812, -76.566844
20506,LC,BWL,50.0,2017-05-01,2018-04-30,2017,550.0,1217,Renewed,HARRY,REMLEY,SHERIDAN-HOOD VFW POST 3065,SHERIDAN-HOOD VFW POST 3065,Non-Profits only,7 days,"Beer, Wine, & Liquor",1202 UNION AVENUE,21211,20.0,102.0,14006.0,39.333134, -76.635921
20508,LBD7,BWL,315.0,2017-05-01,2018-04-30,2017,1320.0,1010,Renewed,ALFONZO LEE,WIGGNS,CLUB 4040 LIQUOR & GROCERY,"CLUB 4040, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2139-43 PENNSYLVANIA AVENUE,21217,22.0,221.0,27301.0,39.307318, -76.639273
20511,LBD7,BWL,288.0,2017-05-01,2018-04-30,2017,1870.0,0909,Renewed,HERMAN J.,HANNAN,BO BROOKS RESTAURANT & CATERING,"BOSTON STREET SEAFOOD, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2780 BOSTON STREET,21224,115.0,30.0,27935.0,39.278543, -76.576515
20512,WC,BW,13.0,2017-05-01,2018-04-30,2017,82.5,1125,Renewed,WILLIAM,COATES,WAVERLY CLUB,"WAVERLY SOCIAL PLEASURE CLUB, INC.",Non-Profits only,7 days,Beer & Light Wine,920 30TH STREET EAST,21218,181.0,16.0,27307.0,39.323346, -76.604271
20513,LBD7,BWL,403.0,2017-05-01,2018-04-30,2017,1320.0,1147,Renewed,JENNIFER A.,REDA,STALKING HORSE,"26 E. CROSS, LLC",Tavern,7 days,"Beer, Wine, & Liquor",26-30 CROSS STREET  EAST,21230,175.0,67.0,27953.0,39.276942, -76.613347
20514,LBD7,BWL,428.0,2017-05-01,2018-04-30,2017,1320.0,1210,Renewed,ROBERT J. ,WEHNER ,MURPHY'S NEIGHBORHOOD BAR & GRILL,"O & W COMPANY, LLC",Tavern,7 days,"Beer, Wine, & Liquor",5800 YORK ROAD,21212,257.0,271.0,14009.0,39.36063, -76.609939
20515,LBD7,BWL,404.0,2017-05-01,2018-04-30,2017,1320.0,1150,Renewed,JOSE M.,LUNA,CASA LUNA SPORTS BAR,"CASA LUNA SPORTS BAR, INC.",Tavern,7 days,"Beer, Wine, & Liquor",500 LEHIGH STREET SOUTH,21224,139.0,90.0,27935.0,39.286866, -76.558045
20516,LA,BWL,196.0,2017-05-01,2018-04-30,2017,858.0,0960,Renewed,DHRUV,SHARMA,SUNLITE LIQUORS,"PARKASH D, LLC",Package goods only,6 days,"Beer, Wine, & Liquor",919-21 PATAPSCO AVENUE EAST,21225,132.0,26.0,27937.0,39.234633, -76.596882
20517,LA,BWL,215.0,2017-05-01,2018-04-30,2017,858.0,1204,Renewed,YONG JA,LEE,NORTHWOOD LIQUORS,"SUN BEVERAGE, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",1532 HAVENWOOD ROAD,21218,212.0,111.0,27307.0,39.340655, -76.59116
20518,LB,BWL,260.0,2017-05-01,2018-04-30,2017,1520.0,0917,Renewed,SUSAN ,HORMOZI,ONE-EYED MIKE'S,"EAPEN, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",708 BOND STREET SOUTH,21231,286.0,68.0,27954.0,39.283157, -76.595168
20519,LBD7,BWL,182.0,2017-05-01,2018-04-30,2017,1320.0,0406,Renewed,SHEILA,MERRITT,MERRITT ATHLETIC CLUBS-CANTON,"MERRITT ATHLETIC CLUBS, B-3, LLC",Tavern,7 days,"Beer, Wine, & Liquor",3401 BOSTON STREET,21224,131.0,30.0,27935.0,39.277037, -76.567893
20520,LBD7,BWL,302.0,2017-05-01,2018-04-30,2017,1320.0,0945,Renewed,SARBJIT,SINGH,LOMBARD LIQUOR & BAR,"BADWAL, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1000 LOMBARD STREET WEST,21223,7.0,114.0,27632.0,39.286752, -76.633785
20521,LBD7,BWL,434.0,2017-05-01,2018-04-30,2017,1320.0,1227,Renewed,EVANGELOS N.,IOANNOU,ZISSIMOS BAR,"KITSOS, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1023 36TH STREET WEST,21211,20.0,102.0,14006.0,39.331065, -76.63341
20522,LBD7,BWL,288.0,2017-05-01,2018-04-30,2017,1870.0,0909,Renewed,MURRY,"MASON, JR.",BO BROOKS RESTAURANT & CATERING,"BOSTON STREET SEAFOOD, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2780 BOSTON STREET,21224,115.0,30.0,27935.0,39.278543, -76.576515
20524,WB,BW,13.0,2017-05-01,2018-04-30,2017,165.0,0962,Renewed,LESLY K.,BARDALES,EL TROPICAL RESTAURANT,"EL TROPICAL RESTAURANT, INC.",Restaurant License,7 days,Beer & Light Wine,3736-38 LOMBARD STREET EAST,21224,140.0,8.0,27935.0,39.291462, -76.565786
